EntrezGeneId,UniProtID
6392,http://www.uniprot.org/uniprot/O14521
6418,http://www.uniprot.org/uniprot/Q01105
26040,http://www.uniprot.org/uniprot/Q9Y6X0
29072,http://www.uniprot.org/uniprot/Q9BYW2
23451,http://www.uniprot.org/uniprot/O75533
6421,http://www.uniprot.org/uniprot/P23246
6424,http://www.uniprot.org/uniprot/Q6FHJ7
10019,http://www.uniprot.org/uniprot/Q9UQQ2
6455,http://www.uniprot.org/uniprot/Q99961
6495,http://www.uniprot.org/uniprot/Q15475
10568,http://www.uniprot.org/uniprot/O95436
85414,http://www.uniprot.org/uniprot/Q96JT2
4087,http://www.uniprot.org/uniprot/Q15796
4088,http://www.uniprot.org/uniprot/P84022
4089,http://www.uniprot.org/uniprot/Q13485
6597,http://www.uniprot.org/uniprot/P51532
6598,http://www.uniprot.org/uniprot/Q12824
6602,http://www.uniprot.org/uniprot/Q96GM5
6605,http://www.uniprot.org/uniprot/Q969G3
6608,http://www.uniprot.org/uniprot/Q99835
27044,http://www.uniprot.org/uniprot/Q7KZF4
8651,http://www.uniprot.org/uniprot/O15524
6657,http://www.uniprot.org/uniprot/P48431
23013,http://www.uniprot.org/uniprot/Q96T58
8405,http://www.uniprot.org/uniprot/O43791
6714,http://www.uniprot.org/uniprot/P12931
6427,http://www.uniprot.org/uniprot/Q01130
6428,http://www.uniprot.org/uniprot/P84103
6760,http://www.uniprot.org/uniprot/Q15532
26039,http://www.uniprot.org/uniprot/O75177
6756,http://www.uniprot.org/uniprot/Q16384
6757,http://www.uniprot.org/uniprot/Q16385
6759,http://www.uniprot.org/uniprot/O60224
10735,http://www.uniprot.org/uniprot/Q8N3U4
6774,http://www.uniprot.org/uniprot/P40763
6777,http://www.uniprot.org/uniprot/P51692
6778,http://www.uniprot.org/uniprot/P42226
6491,http://www.uniprot.org/uniprot/Q15468
6794,http://www.uniprot.org/uniprot/Q15831
6801,http://www.uniprot.org/uniprot/O43815
51684,http://www.uniprot.org/uniprot/Q9UMX1
23512,http://www.uniprot.org/uniprot/Q15022
6850,http://www.uniprot.org/uniprot/P43405
8148,http://www.uniprot.org/uniprot/Q92804
6886,http://www.uniprot.org/uniprot/P17542
6887,http://www.uniprot.org/uniprot/Q16559
79718,http://www.uniprot.org/uniprot/Q9BZK7
6926,http://www.uniprot.org/uniprot/O15119
6917,http://www.uniprot.org/uniprot/P23193
6938,http://www.uniprot.org/uniprot/Q99081
6929,http://www.uniprot.org/uniprot/P15923
6934,http://www.uniprot.org/uniprot/Q9NQB0
8115,http://www.uniprot.org/uniprot/P56279
7015,http://www.uniprot.org/uniprot/O14746
80312,http://www.uniprot.org/uniprot/Q8NFU7
54790,http://www.uniprot.org/uniprot/Q6N021
7030,http://www.uniprot.org/uniprot/P19532
7942,http://www.uniprot.org/uniprot/P19484
10342,http://www.uniprot.org/uniprot/Q92734
7048,http://www.uniprot.org/uniprot/P37173
3195,http://www.uniprot.org/uniprot/P31314
